Email ID,Mobile No.,EID,Nationality,Passport No
john.doe@example.com,123-4567890,123-4567-1234567-1,US,A1234567
jane@example,555-1234567,123-4567-1234567-2,UK,B7654321
bob@sample.org,abc-defghij,123-4567-1234567-3,CA,C1234567
alice@test.net,111-2223333,123-4567-1234567-4,,D1234567
,222-3334444,123-4567-1234567-5,FR,E1234567
carol@mail.com,333-4445555,123-4567-1234567-6,DE,
dave@site.io,444-5556666,123-4567-1234567-7,IN,G1234567
erin@corp.co,555-6667777,123-4567-1234567-8,,H1234567
frank@home.com,666-7778888,123-4567-1234567-9,JP,I1234567
grace@work.org,777-8889999,,KR,J1234567
